MeasurementTimeStamp,ServerTimeStamp,CVTimeStamp,Voltage,PC1,PC2,PC3,PC4,PC5,PC6
2016-07-19T11:43:44.000000-0500,2016-07-19T11:44:10.000000-0500,11:43:29 AM ,3.498,164751.272202,7502.74658203,7192.02041626,6975.28839111,7570.61958313,7316.01715088
2016-07-19T11:44:00.000000-0500,2016-07-19T11:44:11.000000-0500,11:43:51 AM ,3.598,164128.56102,7503.06129456,7192.12532043,6975.49819946,7570.7244873,7316.12205505
2016-07-19T11:44:16.000000-0500,2016-07-19T11:45:07.000000-0500,11:44:13 AM ,3.698,206751.127243,7493.51501465,7189.39781189,6975.07858276,7571.144104,7316.43676758
2016-07-19T11:44:32.000000-0500,2016-07-19T11:45:07.000000-0500,11:44:13 AM ,3.698,163731.079102,7502.95639038,7192.02041626,6975.18348694,7570.51467896,7315.80734253
2016-07-19T11:44:48.000000-0500,2016-07-19T11:45:07.000000-0500,11:44:36 AM ,3.798,163452.978134,7502.95639038,7192.02041626,6975.07858276,7570.51467896,7315.80734253
2016-07-19T11:45:04.000000-0500,2016-07-19T11:45:08.000000-0500,11:44:58 AM ,3.898,163112.039566,7502.95639038,7192.02041626,6975.18348694,7570.40977478,7315.80734253
2016-07-19T11:45:36.000000-0500,2016-07-19T11:47:06.000000-0500,11:45:20 AM ,3.998,163075.428009,7502.95639038,7192.02041626,6975.18348694,7570.51467896,7315.80734253
2016-07-19T11:45:52.000000-0500,2016-07-19T11:47:07.000000-0500,11:45:42 AM ,4.098,162925.624847,7502.95639038,7192.02041626,6974.97367859,7570.40977478,7315.70243835
2016-07-19T11:46:08.000000-0500,2016-07-19T11:47:07.000000-0500,11:46:04 AM ,4.198,158144.407272,7503.90052795,7192.12532043,6975.07858276,7570.30487061,7315.59753418
2016-07-19T11:46:24.000000-0500,2016-07-19T11:47:08.000000-0500,11:46:04 AM ,4.198,162841.596603,7502.85148621,7191.91551208,6974.86877441,7570.40977478,7315.59753418
2016-07-19T11:46:40.000000-0500,2016-07-19T11:47:08.000000-0500,11:46:27 AM ,4.298,162763.547897,7502.95639038,7191.91551208,6975.07858276,7570.30487061,7315.59753418
2016-07-19T11:46:56.000000-0500,2016-07-19T11:47:09.000000-0500,11:46:49 AM ,4.398,162560.663223,7503.16619873,7192.02041626,6975.07858276,7570.51467896,7315.70243835
2016-07-19T11:47:12.000000-0500,2016-07-19T11:48:06.000000-0500,11:47:11 AM ,4.498,162691.583633,7502.85148621,7191.81060791,6975.07858276,7570.30487061,7315.70243835
2016-07-19T11:47:28.000000-0500,2016-07-19T11:48:06.000000-0500,11:47:11 AM ,4.498,162634.305954,7502.95639038,7191.91551208,6974.97367859,7570.40977478,7315.70243835
2016-07-19T11:47:44.000000-0500,2016-07-19T11:48:07.000000-0500,11:47:33 AM ,4.598,162568.426132,7502.95639038,7191.81060791,6974.97367859,7570.30487061,7315.70243835
2016-07-19T11:48:00.000000-0500,2016-07-19T11:48:08.000000-0500,11:47:55 AM ,4.698,157941.102982,7503.6907196,7192.12532043,6974.86877441,7570.30487061,7315.49263
2016-07-19T11:48:16.000000-0500,2016-07-19T11:49:12.000000-0500,11:47:55 AM ,4.698,162536.010742,7502.95639038,7191.81060791,6974.97367859,7570.30487061,7315.70243835
2016-07-19T11:48:32.000000-0500,2016-07-19T11:49:13.000000-0500,11:48:18 AM ,4.798,162505.483627,7502.95639038,7192.02041626,6974.97367859,7570.40977478,7315.70243835
2016-07-19T11:48:48.000000-0500,2016-07-19T11:49:13.000000-0500,11:48:40 AM ,4.898,162355.365753,7502.95639038,7191.91551208,6975.07858276,7570.40977478,7315.70243835
